chem_name,prod_name
Phenoxyethanol,Bienfait Multi-Vital Moisturizing Night Cream
Palmitate,Bienfait Multi-Vital Moisturizing Night Cream
Ascorbyl Glucoside,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Benzyl Alcohol,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Caprylyl Glycol,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Methylparaben,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Panthenol,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Phenoxyethanol,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Triethanolamine,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer
Butylene Glycol,Bio-Performance Advanced Super Revitalizing Cream
Castor Oil,Bio-Performance Advanced Super Revitalizing Cream
Dimethicone,Bio-Performance Advanced Super Revitalizing Cream
Glycerin,Bio-Performance Advanced Super Revitalizing Cream
Methylparaben,Bio-Performance Advanced Super Revitalizing Cream
Phenoxyethanol,Squalane + 10% Lactic Acid Resurfacing Night Serum
Phenoxyethanol,Black Tea Firming and De-Puffing Eye Cream
Biotin,Black Tea Corset Cream Firming Moisturizer
Butylene Glycol,Black Tea Corset Cream Firming Moisturizer
Dimethicone,Black Tea Corset Cream Firming Moisturizer
Glycerin,Black Tea Corset Cream Firming Moisturizer
Phenoxyethanol,Black Tea Corset Cream Firming Moisturizer
Sodium Hyaluronate,Black Tea Corset Cream Firming Moisturizer
Phenoxyethanol,Black Tea Firming Overnight Mask
Phenoxyethanol,Black Tea Instant Perfecting Mask
Phenoxyethanol,Kombucha Antioxidant Facial Treatment Essence
Phenoxyethanol,Blue Tansy BHA and Enzyme Pore Refining Mask 
Butylene Glycol,Bye Bye Breakout™ Full-Coverage Concealer
Caprylyl Glycol,Bye Bye Breakout™ Full-Coverage Concealer
Collagen,Bye Bye Breakout™ Full-Coverage Concealer
Colloidal Oatmeal,Bye Bye Breakout™ Full-Coverage Concealer
Cyclopentasiloxane,Bye Bye Breakout™ Full-Coverage Concealer
Dimethicone,Bye Bye Breakout™ Full-Coverage Concealer
Glycerin,Bye Bye Breakout™ Full-Coverage Concealer
Magnesium,Bye Bye Breakout™ Full-Coverage Concealer
Phenoxyethanol,Bye Bye Breakout™ Full-Coverage Concealer
Propanediol,Bye Bye Breakout™ Full-Coverage Concealer
Palmitate,Bye Bye Breakout™ Full-Coverage Concealer
Sodium Hyaluronate,Bye Bye Breakout™ Full-Coverage Concealer
Sulfur,Bye Bye Breakout™ Full-Coverage Concealer
Amino Acids,C+ Collagen Brighten & Firm Vitamin C Serum
Benzyl Alcohol,C+ Collagen Brighten & Firm Vitamin C Serum
Butylene Glycol,C+ Collagen Brighten & Firm Vitamin C Serum
Collagen,C+ Collagen Brighten & Firm Vitamin C Serum
